audio_track,target,estimated_similarity,zcr_similarity,rhythm_similarity,chroma_similarity,energy_envelope_similarity,spectral_contrast_similarity,perceptual_similarity,swass
tracks/04 - Time To Burn (Happy People In The Morning Mix).aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9790408596349404,0.5433658908003955,0.7182144522666931,0.5123339479768632,0.8955760144798754,0.5736271075763435,0.7036406583013484
tracks/Zwicker - Made Up.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9805730604797767,0.5371473158746722,0.7325718700885773,0.49727113758752844,0.9234264864454366,0.561080422366953,0.7043442961652924
"tracks/Carl Cox, Franky Wah - See the Sun Rising (Extended Mix).mp3",tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9860846709817894,0.5472937917496052,0.7572841346263885,0.5244855066351299,0.9273820548550349,0.5655699547443918,0.7164332665694515
tracks/Felon5 - Moovin' (Floating Deep Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9888113540034744,0.5425352066293447,0.6821323037147522,0.5025160788250678,0.859098039169226,0.5657064752551929,0.6919984797199823
tracks/01 - Captain Comatose - Price Gun Baby (Playgroup Remix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9685620497991376,0.5370491876489798,0.6786632239818573,0.49999852365574216,0.9185252550032459,0.5549406131111013,0.6896953927741141
tracks/Tony De Vit - Are You All Ready.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9961267642720996,0.5427196872317878,0.7495764195919037,0.49623113220983317,0.931578449069583,0.5738642322092997,0.7152383787889598
tracks/02 - Break The Rules.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9861286039888393,0.5056324060474647,0.7047536373138428,0.5283559339780883,0.8881385187754283,0.5893753023111697,0.698827435207615
tracks/The Emperor Machine - Stiff Poly (Extended Mix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,5.0,0.9839354595808839,0.5489344965735641,0.7249893546104431,0.5085853550552574,0.9283631875842699,0.5703787521004541,0.7093424668370218
"tracks/01 - Khan, Julee Cruise - Say Goodbye (LoSoul »She's Homeless«-Mix).mp3",tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9589425075470266,0.5312869665611666,0.7764673829078674,0.5159425570715521,0.9129926900202989,0.5616040217059541,0.7085537004535881
tracks/NeoFx - Banana Brain.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9804617324387198,0.5400177893309221,0.7798700928688049,0.48762755997070273,0.9219789697293961,0.5878545344316379,0.7186014827840268
tracks/03 Rock It.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9504624466202422,0.5391690461158066,0.7433063983917236,0.5083952218565764,0.8584449705615094,0.5628823080564009,0.6958480590786432
tracks/1439 - Chicken Lips - He Not In (Noir's Personal Edit).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,5.0,0.9748335637264942,0.544108404052253,0.6861249208450317,0.49663136759829435,0.9041113362698214,0.5612948962668973,0.6933466273649469
tracks/119 - Boogie_Ghost - Shiro_Schwarz_-_.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9936851872457556,0.5325008295068662,0.6914286315441132,0.5043701504830488,0.8720404605580641,0.5878504535256431,0.698734081468587
tracks/Diana Ross - Upside Down (DJOKO Edit).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9541232190497317,0.5362740820715666,0.7176696062088013,0.5112254373578544,0.9248300816985842,0.561705808368059,0.6975600950452756
tracks/Anderson - Anderson - Rave Racers EP - 01 Thrusters Engaged.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9840093499109064,0.548306726448468,0.8014439642429352,0.5073278943233899,0.9317180583052911,0.5573181674646291,0.7221202368762559
tracks/05 - Abdul Raeva - Xpress [209645191].aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.992842425819115,0.5430470741813878,0.7840512990951538,0.4945757065640423,0.8942921336158861,0.5663492548390305,0.7161447948049302
tracks/04 - The Other Day - At the Front.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9715451286561173,0.5456899155145142,0.749186635017395,0.508547232188857,0.8583811140945108,0.5554578733601377,0.7010687451379697
tracks/10. You Spin Me Round (Like a Record) (Murder mix).aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9714675959462814,0.5448414234849959,0.7448011636734009,0.4998066823902043,0.9031539707825116,0.5858195619384755,0.7096820143259024
tracks/04. Witch Medicine.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9811391809923578,0.5359308841726628,0.7389349639415741,0.5038284865818721,0.9256023052089662,0.5586212576200444,0.7058683365244116
tracks/05 Cold Storage - Doh-T.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9992835618906571,0.5499372480834134,0.7547292560338974,0.5100539229958775,0.87524880893152,0.5833346766609957,0.7159872217265326
tracks/Blacksoul - Got Funk.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,5.0,0.9858358035676611,0.5393063945394004,0.7383593618869781,0.49779137273595514,0.9271984814366042,0.5606988767698945,0.7073390727700428
tracks/Maara - Fancy Feast - 03 Princess Express.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9821190976235,0.5438756303639164,0.7613663971424103,0.5077386305098702,0.9062746382575805,0.5604797406623333,0.7109695000351771
tracks/Force Mass Motion - Why Me.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9855749093220496,0.5444141215233573,0.7179555296897888,0.5126156573854049,0.8843302419437582,0.576476366893351,0.7045787754186257
tracks/03 Yakado.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9881352777558641,0.5415227114461314,0.7656945288181305,0.5185876135216994,0.8667579615647164,0.5692768891669112,0.7114604389460492
tracks/03 - Oil Slick.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9959911920637482,0.5421214294126312,0.7086280584335327,0.5037010322196465,0.8674619065988686,0.5539050418962507,0.6972454382430842
tracks/Kandy Floss - Roza Terenzi - Mix 01- (Master).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9896670612935755,0.5441103141636819,0.7325926721096039,0.5152376157292062,0.9283205747911998,0.5650004608674444,0.7106299207389017
tracks/01-paul_reve_natural_limit-organic_dreams-069d0b1d.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.946857676833365,0.5355931542273505,0.5571742057800293,0.5047626140770014,0.9272419490233612,0.6112486959499046,0.6733752028681662
tracks/The Voltaic Continuum - Berraqueando.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9900294635228165,0.5423292516825922,0.6930585205554962,0.49430039441409623,0.8773003541175504,0.5603201218841481,0.6943075463821753
tracks/03 dat girl.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9859853482937146,0.5342469449370535,0.7013729512691498,0.4980910324223236,0.9211174912206996,0.5567391225485718,0.6975897257740002
tracks/05 - Feuerhake - Select.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9917527198084924,0.5449899259146695,0.6730273365974426,0.5115834871003814,0.9201756966997604,0.5626397685699358,0.6976578685581223
tracks/14 - SDA - Vous êtes un arbre.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9809369332454395,0.5447733591455731,0.6887837052345276,0.510359238089173,0.9203351047833663,0.5804970914503044,0.7020676521024228
tracks/Bliss Inc - Subaquatic.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9969872668215953,0.5449333220071427,0.7120974361896515,0.5031968884488849,0.9238462123001636,0.564783581602274,0.7064646313990376
tracks/11 Flux - Strange Feelings.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9872808530387135,0.5387002862685007,0.7214242815971375,0.5062579182245249,0.8766634358168085,0.5721334996007229,0.7021999195051483
tracks/10 - Little Computer People - Fly High.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9859275741006549,0.5331936056319997,0.7344222962856293,0.4922713494474477,0.9167094382729544,0.576656902113855,0.7069381543984681
tracks/04. Giorgio Maulini - Storyteller (Original Mix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9714736070769919,0.5410532251467226,0.7309000194072723,0.5028234839721807,0.9127838027796226,0.5410754550523745,0.6984611900118526
tracks/Ilyes - IDFK.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9828373255927962,0.5463339319766377,0.7474696636199951,0.505557899027064,0.9251792071182864,0.5633636764981216,0.7110746301520452
